machine,day,window,used_minutes,remaining_machine_capacity_minutes,utilization
1,1,1,24.0,36,0.6666666666666666
1,1,2,24.0,48,0.5
1,1,3,24.0,36,0.6666666666666666
1,1,4,48.0,48,1.0
1,2,1,24.0,36,0.6666666666666666
1,2,2,24.0,48,0.5
1,2,3,0.0,36,0.0
1,2,4,48.0,48,1.0
1,3,1,36.0,36,1.0
1,3,2,48.0,48,1.0
1,3,3,12.0,36,0.3333333333333333
1,3,4,48.0,72,0.6666666666666666
1,4,1,12.0,36,0.3333333333333333
1,4,2,0.0,48,0.0
1,4,3,24.0,36,0.6666666666666666
1,4,4,24.0,72,0.3333333333333333
1,5,1,24.0,36,0.6666666666666666
1,5,2,12.0,48,0.25
1,5,3,36.0,36,1.0
1,5,4,36.0,72,0.5
1,6,1,0.0,36,0.0
1,6,2,36.0,60,0.6
1,6,3,24.0,48,0.5
1,6,4,24.0,72,0.3333333333333333
1,7,1,36.0,36,1.0
1,7,2,24.0,60,0.4
1,7,3,24.0,48,0.5
1,7,4,24.0,72,0.3333333333333333
1,8,1,12.0,36,0.3333333333333333
1,8,2,48.0,60,0.8
1,8,3,24.0,48,0.5
1,8,4,72.0,72,1.0
1,9,1,12.0,48,0.25
1,9,2,36.0,72,0.5
1,9,3,36.0,48,0.75
1,9,4,84.0,84,1.0
1,10,1,36.0,60,0.6
1,10,2,72.0,72,1.0
1,10,3,48.0,48,1.0
1,10,4,36.0,84,0.42857142857142855
1,11,1,0.0,60,0.0
1,11,2,60.0,72,0.8333333333333334
1,11,3,48.0,48,1.0
1,11,4,84.0,84,1.0
1,12,1,60.0,72,0.8333333333333334
1,12,2,36.0,84,0.42857142857142855
1,12,3,12.0,48,0.25
1,12,4,36.0,84,0.42857142857142855
1,13,1,48.0,96,0.5
1,13,2,24.0,84,0.2857142857142857
1,13,3,12.0,60,0.2
1,13,4,108.0,108,1.0
1,14,1,36.0,96,0.375
1,14,2,36.0,84,0.42857142857142855
1,14,3,36.0,72,0.5
1,14,4,48.0,108,0.4444444444444444
1,15,1,60.0,108,0.5555555555555556
1,15,2,36.0,96,0.375
1,15,3,72.0,84,0.8571428571428571
1,15,4,36.0,108,0.3333333333333333
1,16,1,0.0,108,0.0
1,16,2,48.0,108,0.4444444444444444
1,16,3,36.0,84,0.42857142857142855
1,16,4,72.0,108,0.6666666666666666
1,17,1,36.0,108,0.3333333333333333
1,17,2,48.0,108,0.4444444444444444
1,17,3,60.0,84,0.7142857142857143
1,17,4,60.0,108,0.5555555555555556
1,18,1,36.0,120,0.3
1,18,2,24.0,108,0.2222222222222222
1,18,3,48.0,84,0.5714285714285714
1,18,4,96.0,108,0.8888888888888888
1,19,1,72.0,120,0.6
1,19,2,24.0,108,0.2222222222222222
1,19,3,60.0,108,0.5555555555555556
1,19,4,48.0,108,0.4444444444444444
1,20,1,24.0,120,0.2
1,20,2,48.0,108,0.4444444444444444
1,20,3,72.0,108,0.6666666666666666
1,20,4,36.0,108,0.3333333333333333
1,21,1,36.0,120,0.3
1,21,2,0.0,108,0.0
1,21,3,72.0,108,0.6666666666666666
1,21,4,84.0,108,0.7777777777777778
1,22,1,48.0,120,0.4
1,22,2,48.0,108,0.4444444444444444
1,22,3,24.0,108,0.2222222222222222
1,22,4,96.0,108,0.8888888888888888
1,23,1,24.0,120,0.2
1,23,2,48.0,108,0.4444444444444444
1,23,3,108.0,120,0.9
1,23,4,60.0,120,0.5
1,24,1,12.0,120,0.1
1,24,2,60.0,120,0.5
1,24,3,48.0,120,0.4
1,24,4,84.0,120,0.7
1,25,1,24.0,120,0.2
1,25,2,48.0,120,0.4
1,25,3,36.0,120,0.3
1,25,4,48.0,120,0.4
1,26,1,12.0,120,0.1
1,26,2,36.0,120,0.3
1,26,3,36.0,120,0.3
1,26,4,48.0,120,0.4
1,27,1,0.0,120,0.0
1,27,2,12.0,120,0.1
1,27,3,36.0,120,0.3
1,27,4,60.0,120,0.5
1,28,1,0.0,120,0.0
1,28,2,12.0,120,0.1
1,28,3,36.0,120,0.3
1,28,4,60.0,120,0.5
1,29,1,0.0,120,0.0
1,29,2,0.0,120,0.0
1,29,3,60.0,120,0.5
1,29,4,48.0,120,0.4
1,30,1,0.0,120,0.0
1,30,2,12.0,120,0.1
1,30,3,48.0,120,0.4
1,30,4,48.0,120,0.4
1,31,1,12.0,120,0.1
1,31,2,0.0,120,0.0
1,31,3,24.0,120,0.2
1,31,4,60.0,120,0.5
1,32,1,0.0,120,0.0
1,32,2,0.0,120,0.0
1,32,3,24.0,120,0.2
1,32,4,48.0,120,0.4
1,33,1,0.0,120,0.0
1,33,2,0.0,120,0.0
1,33,3,24.0,120,0.2
1,33,4,48.0,120,0.4
1,34,1,0.0,120,0.0
1,34,2,0.0,120,0.0
1,34,3,24.0,120,0.2
1,34,4,48.0,120,0.4
1,35,1,0.0,120,0.0
1,35,2,0.0,120,0.0
1,35,3,24.0,120,0.2
1,35,4,48.0,120,0.4
1,36,1,0.0,120,0.0
1,36,2,0.0,120,0.0
1,36,3,24.0,120,0.2
1,36,4,36.0,120,0.3
1,37,1,0.0,120,0.0
1,37,2,0.0,120,0.0
1,37,3,0.0,120,0.0
1,37,4,36.0,120,0.3
1,38,1,0.0,120,0.0
1,38,2,0.0,120,0.0
1,38,3,0.0,120,0.0
1,38,4,36.0,120,0.3
1,39,1,0.0,120,0.0
1,39,2,0.0,120,0.0
1,39,3,0.0,120,0.0
1,39,4,36.0,120,0.3
1,40,1,0.0,120,0.0
1,40,2,0.0,120,0.0
1,40,3,0.0,120,0.0
1,40,4,36.0,120,0.3
1,41,1,0.0,120,0.0
1,41,2,0.0,120,0.0
1,41,3,0.0,120,0.0
1,41,4,36.0,120,0.3
1,42,1,0.0,120,0.0
1,42,2,0.0,120,0.0
