day,window,available_rtt_teams,definition,active_machines,rtt_utilization
1,1,9,one_treatment_delivery_team_per_active_machine_window,7.0,0.7777777777777778
1,2,10,one_treatment_delivery_team_per_active_machine_window,3.0,0.3
1,3,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7
1,4,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
2,1,9,one_treatment_delivery_team_per_active_machine_window,8.0,0.8888888888888888
2,2,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
2,3,10,one_treatment_delivery_team_per_active_machine_window,3.0,0.3
2,4,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
3,1,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
3,2,10,one_treatment_delivery_team_per_active_machine_window,6.0,0.6
3,3,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
3,4,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
4,1,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
4,2,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7
4,3,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7
4,4,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
5,1,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7
5,2,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
5,3,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
5,4,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
6,1,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7
6,2,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
6,3,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
6,4,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
7,1,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
7,2,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
7,3,10,one_treatment_delivery_team_per_active_machine_window,6.0,0.6
7,4,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
8,1,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
8,2,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
8,3,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
8,4,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
9,1,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
9,2,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
9,3,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
9,4,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
10,1,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
10,2,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
10,3,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
10,4,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
11,1,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
11,2,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7
11,3,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
11,4,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
12,1,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
12,2,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
12,3,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
12,4,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
13,1,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
13,2,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7
13,3,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
13,4,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
14,1,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
14,2,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7
14,3,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
14,4,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
15,1,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7
15,2,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7
15,3,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
15,4,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
16,1,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
16,2,10,one_treatment_delivery_team_per_active_machine_window,5.0,0.5
16,3,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
16,4,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
17,1,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
17,2,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7
17,3,10,one_treatment_delivery_team_per_active_machine_window,6.0,0.6
17,4,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
18,1,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
18,2,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
18,3,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7
18,4,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
19,1,10,one_treatment_delivery_team_per_active_machine_window,6.0,0.6
19,2,10,one_treatment_delivery_team_per_active_machine_window,6.0,0.6
19,3,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7
19,4,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
20,1,10,one_treatment_delivery_team_per_active_machine_window,4.0,0.4
20,2,10,one_treatment_delivery_team_per_active_machine_window,6.0,0.6
20,3,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
20,4,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
21,1,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7
21,2,10,one_treatment_delivery_team_per_active_machine_window,6.0,0.6
21,3,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
21,4,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9
22,1,10,one_treatment_delivery_team_per_active_machine_window,5.0,0.5
22,2,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
22,3,10,one_treatment_delivery_team_per_active_machine_window,6.0,0.6
22,4,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
23,1,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7
23,2,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
23,3,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7
23,4,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0
24,1,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
24,2,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8
