day,window,available_rtt_teams,definition,active_machines,rtt_utilization,available_rtt_teams_before_disruption,rtt_shortage_level
1,1,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7,10,0.5
1,2,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8,10,0.5
2,1,10,one_treatment_delivery_team_per_active_machine_window,5.0,0.5,10,0.5
2,2,5,one_treatment_delivery_team_per_active_machine_window,10.0,1.0,10,0.5
3,1,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9,10,0.5
3,2,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8,10,0.5
4,1,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7,10,0.5
4,2,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0,10,0.5
5,1,10,one_treatment_delivery_team_per_active_machine_window,8.0,0.8,10,0.5
5,2,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9,10,0.5
6,1,10,one_treatment_delivery_team_per_active_machine_window,6.0,0.6,10,0.5
6,2,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0,10,0.5
7,1,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7,10,0.5
7,2,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0,10,0.5
8,1,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9,10,0.5
8,2,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0,10,0.5
9,1,10,one_treatment_delivery_team_per_active_machine_window,7.0,0.7,10,0.5
9,2,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0,10,0.5
10,1,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0,10,0.5
10,2,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0,10,0.5
11,1,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9,10,0.5
11,2,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0,10,0.5
12,1,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9,10,0.5
12,2,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0,10,0.5
13,1,10,one_treatment_delivery_team_per_active_machine_window,9.0,0.9,10,0.5
13,2,10,one_treatment_delivery_team_per_active_machine_window,10.0,1.0,10,0.5
